Date,Time,NQ
1130902,0,3011
1130903,0,3020.25
1130904,0,3006.75
1130905,0,3044.5
1130906,0,3038.75
1130908,1715,3050.25
1130909,0,3052.5
1130910,0,3082.5
1130911,0,3092
1130912,0,3092
1130913,0,3092.5
1130915,1715,3123.75
1130916,0,3124
1130917,0,3077
1130918,0,3109
1130919,0,3147
1130920,0,3148.5
1130922,1715,3139.75
1130923,0,3142
1130924,0,3126.25
1130925,0,3135.75
1130926,0,3127.25
1130927,0,3147.5
1130929,1715,3122.5
1130930,0,3125.75
1131001,0,3137.25
1131002,0,3161.25
1131003,0,3155.75
1131004,0,3120.5
1131006,1715,3144
1131007,0,3138.5
1131008,0,3125.75
1131009,0,3078
1131010,0,3063.25
1131011,0,3116
1131013,1715,3120.25
1131014,0,3127.75
1131015,0,3172.5
1131016,0,3171
1131017,0,3181.75
1131018,0,3235.25
1131020,1715,3263.5
1131021,0,3267.25
1131022,0,3272.25
1131023,0,3263.5
1131024,0,3268.5
1131025,0,3293
1131027,1715,3294
1131028,0,3305.5
1131029,0,3294.25
1131030,0,3307.75
1131031,0,3290.25
1131101,0,3291.25
1131103,1715,3287
1131104,0,3294.75
1131105,0,3297.25
1131106,0,3310.5
1131107,0,3291.75
1131108,0,3244.75
1131110,1715,3276.25
1131111,0,3276
1131112,0,3276
1131113,0,3268.75
1131114,0,3317.75
1131115,0,3335.5
1131117,1715,3338
1131118,0,3333.75
1131119,0,3307.5
1131120,0,3295.25
1131121,0,3282.5
1131122,0,3319.25
1131124,1715,3344.25
1131125,0,3349.25
1131126,0,3353.25
1131127,0,3367.25
1131128,0,3395.75
1131129,0,3400.75
1131201,1715,3412
1131202,0,3411.25
1131203,0,3403.5
1131204,0,3396
1131205,0,3398.5
1131206,0,3403.75
1131208,1715,3431.5
1131209,0,3430.75
1131210,0,3441.75
1131211,0,3432.75
1131212,0,3389
1131213,0,3387.5
1131215,1715,3379.75
1131216,0,3361.5
1131217,0,3395
1131218,0,3392
1131219,0,3426
1131220,0,3423.5
1131222,1715,3468
1131223,0,3473
1131224,0,3489
1131226,515,3500.25
1131227,0,3506.25
1131229,1715,3493.25
1131230,0,3495.5
1131231,0,3490
1140102,515,3496
1140103,0,3475.25
1140105,1715,3458.25
1140106,0,3456.25
1140107,0,3448.5
1140108,0,3476.25
1140109,0,3489.25
1140110,0,3477.75
1140112,1715,3483.75
1140113,0,3477.25
1140114,0,3431.5
1140115,0,3497.5
1140116,0,3525.25
1140117,0,3522.25
1140119,1715,3507.75
1140120,0,3507.5
1140121,0,3529.75
1140122,0,3541.5
1140123,0,3542.25
1140124,0,3534.75
1140126,1715,3448
1140127,0,3457.25
1140128,0,3404
1140129,0,3444
1140130,0,3406.5
1140131,0,3438.25
1140202,1715,3443.25
1140203,0,3441.25
1140204,0,3362.75
1140205,0,3368.5
1140206,0,3375.5
1140207,0,3417.5
1140209,1715,3486.25
1140210,0,3484.75
1140211,0,3512.5
1140212,0,3544.5
1140213,0,3530.75
1140214,0,3564.75
1140216,1715,3586.75
1140217,0,3584
1140218,0,3592.25
1140219,0,3596.25
1140220,0,3566.5
1140221,0,3605.25
1140223,1715,3590.25
1140224,0,3586.75
1140225,0,3609.75
1140226,0,3620.25
1140227,0,3610.75
1140228,0,3623.75
1140302,1730,3589.5
1140303,0,3592.25
1140304,0,3603.75
1140305,0,3640.75
1140306,0,3655.25
1140307,0,3650.25
1140309,1715,3625
1140310,0,3620
1140311,0,3629.75
1140312,0,3610.75
1140313,0,3642.5
1140314,0,3578.5
1140316,1715,3553
1140317,0,3548.25
1140318,0,3587
1140319,0,3629.5
1140320,0,3599.5
1140321,0,3624.25
1140323,1715,3571.75
1140324,0,3569.5
1140325,0,3546.25
1140326,0,3559
1140327,0,3508
1140328,0,3492
1140330,1715,3506.25
1140331,0,3509.25
1140401,0,3517.5
1140402,0,3588.5
1140403,0,3588.5
1140404,0,3568
1140406,1715,3467.25
1140407,0,3460.75
1140408,0,3436.75
1140409,0,3463.25
1140410,0,3520.75
1140411,0,3413.5
1140413,1715,3365.5
1140414,0,3369.75
1140415,0,3403.25
1140416,0,3437.5
1140417,0,3427.5
1140420,1715,3460.5
1140421,0,3464
1140422,0,3485
1140423,0,3512.5
1140424,0,3522.25
1140425,0,3515
1140427,1715,3460.75
1140428,0,3459.5
1140429,0,3479
1140430,0,3482
1140501,0,3505.75
1140502,0,3516.75
1140504,1715,3507.75
1140505,0,3506
1140506,0,3526.5
1140507,0,3479.5
1140508,0,3474
1140509,0,3466.75
1140511,1715,3482.5
1140512,0,3487.25
1140513,0,3546.75
1140514,0,3543.75
1140515,0,3529.5
1140516,0,3493
1140518,1715,3519.5
1140519,0,3514.75
1140520,0,3545
1140521,0,3527.5
1140522,0,3573.5
1140523,0,3582.5
1140525,1715,3615.75
1140526,0,3610.25
1140527,0,3618.5
1140528,0,3655
1140529,0,3649.75
1140530,0,3662.5
1140601,1715,3664
1140602,0,3668.5
1140603,0,3656.75
1140604,0,3657.75
1140605,0,3672.25
1140606,0,3712.75
1140608,1715,3728.75
1140609,0,3728
1140610,0,3719
1140611,0,3728.75
1140612,0,3730.5
1140613,0,3708
1140615,1715,3706.25
1140616,0,3693.25
1140617,0,3715
1140618,0,3714
1140619,0,3736
1140620,0,3724.75
1140622,1715,3729.5
1140623,0,3740
1140624,0,3729.25
1140625,0,3723.5
1140626,0,3754.5
1140627,0,3750.25
1140629,1715,3772.5
1140630,0,3772.5
1140701,0,3785.5
1140702,0,3823.75
1140703,0,3827.25
1140704,0,3853.5
1140706,1715,3851.75
1140707,0,3849.75
1140708,0,3840.75
1140709,0,3799
1140710,0,3820.25
1140711,0,3813.25
1140713,1715,3839.5
1140714,0,3842.25
1140715,0,3863
1140716,0,3853
1140717,0,3852
1140718,0,3810.5
1140720,1715,3865.5
1140721,0,3866.25
1140722,0,3867.75
1140723,0,3886.75
1140724,0,3914
1140725,0,3897
1140727,1715,3894.5
1140728,0,3890.75
1140729,0,3894.25
1140730,0,3897.25
1140731,0,3902
1140801,0,3835.5
1140803,1715,3817.75
1140804,0,3821
1140805,0,3830
1140806,0,3811.5
1140807,0,3807.25
1140808,0,3773.25
1140810,1715,3821
1140811,0,3821.75
1140812,0,3846.5
1140813,0,3843
1140814,0,3883.25
1140815,0,3908.75
1140817,1715,3935.5
1140818,0,3933
1140819,0,3958.25
1140820,0,3969.75
1140821,0,3974.5
1140822,0,3987.5
1140824,2115,4001.5
1140825,0,4008.5
1140826,0,4001.25
1140827,0,4010.5
1140828,0,4009
1140829,0,4012
1140831,1715,4018.5
1140901,0,4022.5
1140902,0,4023
1140903,0,4032.25
1140904,0,4009
1140905,0,4004
1140907,1715,4022.5
1140908,0,4021.25
1140909,0,4023.75
1140910,0,3999.5
1140911,0,4029.25
1140912,0,4029.5
1140914,1715,3993.25
1140915,0,3992.5
1140916,0,3970.75
1140917,0,3999.5
1140918,0,4010.25
1140919,0,4061.5
1140921,1715,4034
1140922,0,4016.75
1140923,0,3997.5
1140924,0,3986.5
1140925,0,4030
1140926,0,3957.25
1140928,1715,3986.75
1140929,0,3983.25
1140930,0,3984.5
1141001,0,3983.25
1141002,0,3930.5
1141003,0,3931.5
1141005,1715,3968.75
1141006,0,3973
1141007,0,3954.25
1141008,0,3908.5
1141009,0,3986.25
1141010,0,3898.25
1141012,1715,3784
1141013,0,3773.75
1141014,0,3761.5
1141015,0,3757
1141016,0,3702.5
1141017,0,3691.5
1141019,1715,3764.5
1141020,0,3774.25
1141021,0,3801
1141022,0,3915.5
1141023,0,3891
1141024,0,3930.25
1141026,1715,3982.5
1141027,0,3986.25
1141028,0,3992
1141029,0,4023.25
1141030,0,4020.5
1141031,0,4060
1141102,1715,4092.5
1141103,0,4089.75
1141104,0,4095.25
1141105,0,4110.5
1141106,0,4079.75
1141107,0,4118.25
1141109,1715,4094.75
1141110,0,4102
1141111,0,4122.5
1141112,0,4123
1141113,0,4146
1141114,0,4155.75
1141116,1715,4163.75
1141117,0,4149
1141118,0,4157
1141119,0,4179.25
1141120,0,4162.75
1141121,0,4193.5
1141123,1715,4198.75
1141124,0,4195.75
1141125,0,4222.75
1141126,0,4243
1141127,0,4264.75
1141128,0,4275.75
1141130,1715,4272.75
1141201,0,4274
1141202,0,4236
1141203,0,4252.75
1141204,0,4261
1141205,0,4256.5
1141207,1715,4259.5
1141208,0,4258.5
1141209,0,4217.25
1141210,0,4234.25
1141211,0,4179.75
1141212,0,4173.5
1141214,1715,4132.75
1141215,0,4151.5
1141216,0,4107.5
1141217,0,4046
1141218,0,4102.75
1141219,0,4243.25
1141221,1715,4237
1141222,0,4234.25
1141223,0,4247
1141224,0,4235.5
1141225,1715,4240
1141226,0,4241.25
1141228,1715,4261.75
1141229,0,4267.5
1141230,0,4262.25
1141231,0,4239.5
1150101,1715,4195.75
1150102,0,4204
1150104,1715,4153.75
1150105,0,4164
1150106,0,4108.75
1150107,0,4059.75
1150108,0,4132
1150109,0,4182.5
1150111,1715,4157.5
1150112,0,4146.75
1150113,0,4126
1150114,0,4091.5
1150115,0,4119
1150116,0,3999.25
1150118,1715,4076.25
1150119,0,4080.5
1150120,0,4098.5
1150121,0,4122.5
1150122,0,4136.5
1150123,0,4207.5
1150125,1715,4195.25
1150126,0,4199.5
1150127,0,4220.5
1150128,0,4177.25
1150129,0,4068.5
1150130,0,4140.5
1150201,1715,4094.75
1150202,0,4094.5
1150203,0,4119
1150204,0,4161.75
1150205,0,4141.5
1150206,0,4199.25
1150208,1715,4167.5
1150209,0,4165.75
1150210,0,4169.75
1150211,0,4225.25
1150212,0,4250.75
1150213,0,4298
1150215,1715,4327.5
1150216,0,4327.75
1150217,0,4320.25
1150218,0,4336
1150219,0,4337.5
1150220,0,4363.75
1150222,1715,4390
1150223,0,4391
1150224,0,4397.5
1150225,0,4397.75
1150226,0,4389.25
1150227,0,4408
1150301,1715,4400.25
1150302,0,4399.75
1150303,0,4425
1150304,0,4406.25
1150305,0,4394.5
1150306,0,4399
1150308,1715,4355
1150309,0,4350.75
1150310,0,4355
1150311,0,4292
1150312,0,4268
1150313,0,4285.75
1150315,1715,4258.75
1150316,0,4260.75
1150317,0,4308.25
1150318,0,4330.25
1150319,0,4384.5
1150320,0,4385.25
1150322,1715,4415.75
1150323,0,4411.25
1150324,0,4398.5
1150325,0,4384.5
1150326,0,4277.5
1150327,0,4276.75
1150329,1715,4285.5
1150330,0,4299.75
1150331,0,4325
1150401,0,4257.75
1150402,0,4264.25
1150403,0,4262.5
1150405,1715,4232.25
1150406,0,4234.75
1150407,0,4296.75
1150408,0,4291.25
1150409,0,4329
1150410,0,4353
1150412,1715,4373.75
1150413,0,4368.25
1150414,0,4364.5
1150415,0,4351.25
1150416,0,4384.5
1150417,0,4365.5
1150419,1715,4310
1150420,0,4314.75
1150421,0,4371
1150422,0,4390
1150423,0,4397
1150424,0,4451.75
1150426,1715,4488.75
1150427,0,4490
1150428,0,4482
1150429,0,4462.25
1150430,0,4423.5
1150501,0,4368
1150503,1715,4422.25
1150504,0,4418.5
1150505,0,4428
1150506,0,4376.5
1150507,0,4332.75
1150508,0,4366.25
1150510,1715,4406
1150511,0,4405
1150512,0,4384.75
1150513,0,4389
1150514,0,4380
1150515,0,4447.75
1150517,1715,4443.5
1150518,0,4443.25
1150519,0,4469.25
1150520,0,4461.75
1150521,0,4450
1150522,0,4490
1150524,1715,4488
1150525,0,4483.5
1150526,0,4475.75
1150527,0,4431
1150528,0,4497.25
1150529,0,4499.75
1150531,1715,4469.25
1150601,0,4478.5
1150602,0,4476.25
1150603,0,4460.5
1150604,0,4476
1150605,0,4448
1150607,1715,4438.5
1150608,0,4432.25
1150609,0,4393
1150610,0,4391.25
1150611,0,4440
1150612,0,4438
1150614,1715,4390.75
1150615,0,4388.75
1150616,0,4381.75
1150617,0,4412.5
1150618,0,4406.75
1150619,0,4491.75
1150621,1715,4480.25
1150622,0,4479.5
1150623,0,4507.5
1150624,0,4502.25
1150625,0,4490
1150626,0,4468
1150628,1715,4371.5
1150629,0,4373.75
1150630,0,4351
1150701,0,4367.5
1150702,0,4382
1150703,0,4394.25
1150705,1715,4327.75
1150706,0,4328.25
1150707,0,4396.5
1150708,0,4346.25
1150709,0,4337
1150710,0,4344.5
1150712,1715,4351.25
1150713,0,4366.5
1150714,0,4451
1150715,0,4485.75
1150716,0,4511
1150717,0,4572.5
1150719,1715,4613
1150720,0,4613.5
1150721,0,4640
1150722,0,4571
1150723,0,4596.75
1150724,0,4586.25
1150726,1715,4522.5
1150727,0,4520.75
1150728,0,4505.5
1150729,0,4513
1150730,0,4526.75
1150731,0,4554.5
1150802,1715,4546.5
1150803,0,4540.75
1150804,0,4530.5
1150805,0,4521.25
1150806,0,4551.5
1150807,0,4494.25
1150809,1715,4479.75
1150810,0,4493.25
1150811,0,4522
1150812,0,4444
1150813,0,4510.25
1150814,0,4477.5
1150816,1715,4496.25
1150817,0,4492.25
1150818,0,4529.5
1150819,0,4497.75
1150820,0,4472.75
1150821,0,4300
1150823,1715,4129.5
1150824,0,3998.5
1150825,0,4054.75
1150826,0,4038
1150827,0,4182
1150828,0,4286
1150830,1715,4263
1150831,0,4262
1150901,0,4163.5
1150902,0,4170.75
1150903,0,4224.75
1150904,0,4156.75
1150906,1715,4163.75
1150907,0,4195.5
1150908,0,4178.5
1150909,0,4298.25
1150910,0,4220
1150911,0,4270
1150913,1715,4293.5
1150914,0,4293.75
1150915,0,4273.25
1150916,0,4315.75
1150917,0,4350.5
1150918,0,4347.75
1150920,1715,4292.75
1150921,0,4278.5
1150922,0,4300.25
1150923,0,4198
1150924,0,4219.5
1150925,0,4229
1150927,1715,4174.5
1150928,0,4177.25
1150929,0,4058.25
1150930,0,4079.5
1151001,0,4177.75
1151002,0,4157.25
1151004,1715,4225
1151005,0,4240.25
1151006,0,4273
1151007,0,4269.75
1151008,0,4268.5
1151009,0,4326.75
1151011,1715,4321
1151012,0,4326.75
1151013,0,4337.5
1151014,0,4306.75
1151015,0,4328
1151016,0,4380.75
1151018,1715,4406.75
1151019,0,4395.25
1151020,0,4421.75
1151021,0,4416.5
1151022,0,4383.5
1151023,0,4542.25
1151025,1715,4583.25
1151026,0,4574.25
1151027,0,4574.5
1151028,0,4607.5
1151029,0,4626.75
1151030,0,4659.75
1151101,1715,4612.5
1151102,0,4597.5
1151103,0,4661.75
1151104,0,4686.25
1151105,0,4681.25
1151106,0,4669.25
1151108,1715,4672.5
1151109,0,4679.5
1151110,0,4629.25
1151111,0,4614.75
1151112,0,4618.25
1151113,0,4553.25
1151115,1715,4433
1151116,0,4451
1151117,0,4533
1151118,0,4532.75
1151119,0,4628.5
1151120,0,4629.75
1151122,1715,4668.25
1151123,0,4665
1151124,0,4643.75
1151125,0,4642.75
1151126,0,4652.25
1151127,0,4659.25
1151129,1715,4650
1151130,0,4647
1151201,0,4665.25
1151202,0,4689
1151203,0,4676.25
1151204,0,4590.5
1151206,1715,4686.75
1151207,0,4679.75
1151208,0,4652.5
1151209,0,4668
1151210,0,4601.5
1151211,0,4624.5
1151213,1715,4514.5
1151214,0,4527
1151215,0,4539.75
1151216,0,4588.75
1151217,0,4622.25
1151218,0,4536.5
1151220,1715,4497.5
1151221,0,4505
1151222,0,4546.5
1151223,0,4562.75
1151224,0,4582.5
1151227,1715,4592.75
1151228,0,4586.75
1151229,0,4598.5
1151230,0,4664.5
1151231,0,4626.75
1160103,1715,4579.25
1160104,0,4521.75
1160105,0,4484.75
1160106,0,4425.25
1160107,0,4359.75
1160108,0,4309.25
1160110,1715,4218.5
1160111,0,4235.5
1160112,0,4229.25
1160113,0,4326.5
1160114,0,4172.25
1160115,0,4205.25
1160117,1715,4088.5
1160118,0,4132
1160119,0,4160.25
1160120,0,4045.25
1160121,0,4091.75
1160122,0,4153.75
1160124,1715,4227.5
1160125,0,4221.25
1160126,0,4151
1160127,0,4176.25
1160128,0,4127.5
1160129,0,4153.5
1160131,1715,4246
1160201,0,4236.5
1160202,0,4242
1160203,0,4152.5
1160204,0,4169.25
1160205,0,4127.25
1160207,1715,3997
1160208,0,4018
1160209,0,3910.25
1160210,0,3905.75
1160211,0,3923
1160212,0,3942.25
1160214,1715,4009.25
1160215,0,4039.75
1160216,0,4072
1160217,0,4059.25
1160218,0,4184.25
1160219,0,4139.5
1160221,1715,4127
1160222,0,4163.5
1160223,0,4171.75
1160224,0,4128.25
1160225,0,4193.75
1160226,0,4222.5
1160228,1715,4201.5
1160229,0,4175.75
1160301,0,4172.25
1160302,0,4330.75
1160303,0,4319.75
1160304,0,4297.5
1160306,1715,4297.25
1160307,0,4287.75
1160308,0,4261.5
1160309,0,4257.5
1160310,0,4268
1160311,0,4296.5
1160313,1715,4334
1160314,0,4326.5
1160315,0,4330.75
1160316,0,4345
1160317,0,4381
1160318,0,4384
1160320,1715,4378.25
1160321,0,4367.5
1160322,0,4397
1160323,0,4415.5
1160324,0,4374.25
1160327,1715,4392.25
1160328,0,4395.75
1160329,0,4384.75
1160330,0,4444.5
1160331,0,4459.5
1160401,0,4446
1160403,1715,4508
1160404,0,4517.75
1160405,0,4477.75
1160406,0,4474.75
1160407,0,4516.75
1160408,0,4470.5
1160410,1715,4451.25
1160411,0,4451.75
1160412,0,4443
1160413,0,4491.5
1160414,0,4530.75
1160415,0,4534
1160417,1715,4497.5
1160418,0,4494
1160419,0,4536.75
1160420,0,4503
1160421,0,4532
1160422,0,4481.5
1160424,1715,4461.75
1160425,0,4441.5
1160426,0,4458.25
1160427,0,4390
1160428,0,4401.5
1160429,0,4364.5
1160501,1715,4319.75
1160502,0,4313.75
1160503,0,4351.75
1160504,0,4313
1160505,0,4309.75
1160506,0,4278.75
1160508,1715,4319.75
1160509,0,4316.25
1160510,0,4331.75
1160511,0,4371.25
1160512,0,4345.5
1160513,0,4307
1160515,1715,4295.5
1160516,0,4314.5
1160517,0,4364.25
1160518,0,4303.25
1160519,0,4308.5
1160520,0,4321.75
1160522,1715,4353.25
1160523,0,4358.5
1160524,0,4338.75
1160525,0,4445.25
1160526,0,4455.75
1160527,0,4481.5
1160529,1715,4504
1160530,0,4509.75
1160531,0,4512.5
1160601,0,4519
1160602,0,4498.5
1160603,0,4515.25
1160605,1715,4497.75
1160606,0,4497.75
1160607,0,4512.25
1160608,0,4498
1160609,0,4499.75
1160610,0,4493.75
1160612,1715,4439.75
1160613,0,4433.5
1160614,0,4414
1160615,0,4410.75
1160616,0,4382
1160617,0,4419
1160619,1715,4389.5
1160620,0,4404.25
1160621,0,4397.25
1160622,0,4395.75
1160623,0,4409.5
1160624,0,4228.75
1160626,1715,4228.5
1160627,0,4241.5
1160628,0,4212.5
1160629,0,4284.5
1160630,0,4354.5
1160701,0,4396.25
1160703,1715,4429.25
1160704,0,4432.25
1160705,0,4417.75
1160706,0,4373.25
1160707,0,4433.75
1160708,0,4439
1160710,1715,4511.5
1160711,0,4531
1160712,0,4547
1160713,0,4560.5
1160714,0,4556.5
1160715,0,4580
1160717,1715,4581
1160718,0,4579
1160719,0,4599.25
1160720,0,4598.75
1160721,0,4648.25
1160722,0,4630.25
1160724,1715,4651.5
1160725,0,4646.25
1160726,0,4650.25
1160727,0,4687.5
1160728,0,4705.25
1160729,0,4712
1160731,1715,4729
1160801,0,4734.75
1160802,0,4746.75
1160803,0,4703
1160804,0,4720
1160805,0,4745.75
1160807,1715,4779
1160808,0,4783.25
1160809,0,4776
1160810,0,4783.25
1160811,0,4778.75
1160812,0,4794.5
1160814,1715,4800.25
1160815,0,4806.25
1160816,0,4814
1160817,0,4798
1160818,0,4805.25
1160819,0,4798.75
1160821,1715,4801
1160822,0,4792
1160823,0,4808.5
1160824,0,4808
1160825,0,4781.75
1160826,0,4778.25
1160828,1715,4776.5
1160829,0,4774
1160830,0,4786.75
1160831,0,4770
1160901,0,4782
1160902,0,4769.5
1160904,1715,4795.25
1160905,0,4798.75
1160906,0,4789.5
1160907,0,4824
1160908,0,4822.75
1160909,0,4792
1160911,1715,4661
1160912,0,4641
1160913,0,4751.25
1160914,0,4730.75
1160915,0,4726.75
1160916,0,4807.5
1160918,1715,4813.75
1160919,0,4827
1160920,0,4802.5
1160921,0,4813
1160922,0,4848
1160923,0,4884.75
1160925,1715,4854.25
1160926,0,4847.25
1160927,0,4841.5
1160928,0,4854.25
1160929,0,4873.25
1160930,0,4826
1161002,1715,4866
1161003,0,4870.75
1161004,0,4869
1161005,0,4855
1161006,0,4872
1161007,0,4861.5
1161009,1715,4871.5
1161010,0,4868.5
1161011,0,4884.75
1161012,0,4830.5
1161013,0,4784.75
1161014,0,4798
1161016,1715,4800.25
1161017,0,4787.25
1161018,0,4815.75
1161019,0,4829.25
1161020,0,4836.5
1161021,0,4838.25
1161023,1715,4851.25
1161024,0,4848.5
1161025,0,4911.5
1161026,0,4870
1161027,0,4847.5
1161028,0,4814
1161030,1715,4799.5
1161031,0,4824.5
1161101,0,4813.75
1161102,0,4739.25
1161103,0,4696.75
1161104,0,4674.75
1161106,1715,4717.5
1161107,0,4724
1161108,0,4767.5
1161109,0,4567
1161110,0,4850.5
1161111,0,4711.5
1161113,1715,4753.5
1161114,0,4772.25
1161115,0,4699
1161116,0,4770.75
1161117,0,4797.5
1161118,0,4827.75
1161120,1715,4810.5
1161121,0,4815
1161122,0,4877.25
1161123,0,4877.5
1161124,0,4846.5
1161125,0,4857.5
1161127,1715,4859.5
1161128,0,4863.25
1161129,0,4856.5
1161130,0,4871.25
1161201,0,4820.75
1161202,0,4727
1161204,1715,4711
1161205,0,4720.75
1161206,0,4779.25
1161207,0,4788
1161208,0,4851.25
1161209,0,4863
1161211,1715,4915.75
1161212,0,4876.75
1161213,0,4876.75
1161214,0,4939.5
1161215,0,4934
1161216,0,4937.5
1161218,1715,4921.5
1161219,0,4923.25
1161220,0,4942
1161221,0,4956.75
1161222,0,4942.5
1161223,0,4933.75
1161226,1715,4942
1161227,0,4943.25
1161228,0,4969.75
1161229,0,4923.5
1161230,0,4935
1170102,1715,4889
1170103,0,4894.25
